Player,Team,Position,Point,TOI,PPT
Brad Richardson,ARI,C,2,299,0.006688963
Tobias Rieder,CGY,C,1,223,0.004484305
Morgan Rielly,TOR,D,20,696,0.028735632
Juuso Riikola,PIT,D,1,147,0.006802721
Zac Rinaldo,CGY,C,0,24,0
Rasmus Ristolainen,BUF,D,11,647,0.017001546
Brett Ritchie,BOS,RW,4,163,0.024539877
Nick Ritchie,ANA,LW,10,371,0.026954178
Eric Robinson,CBJ,LW,3,80,0.0375
Evan Rodrigues,BUF,C,2,164,0.012195122
Kevin Rooney,NJD,C,1,182,0.005494505
Calle Rosen,COL,D,1,46,0.02173913
Jack Roslovic,WPG,C,12,397,0.0302267
Carter Rowney,ANA,RW,8,365,0.021917808
Matt Roy,LAK,D,6,452,0.013274336
Nicolas Roy,VEG,C,3,67,0.044776119
German Rubtsov,PHI,C,0,23,0
Chad Ruhwedel,PIT,D,1,60,0.016666667
Kris Russell,EDM,D,4,530,0.00754717
Patrick Russell,EDM,RW,4,286,0.013986014
Bryan Rust,PIT,RW,17,243,0.069958848
Jan Rutta,TBL,D,2,115,0.017391304
Bobby Ryan,OTT,LW,4,196,0.020408163
Derek Ryan,CGY,C,11,415,0.026506024
Joakim Ryan,LAK,D,2,253,0.007905138
Brandon Saad,CHI,LW,16,447,0.035794183
Scott Sabourin,OTT,F,2,69,0.028985507
Miikka Salomaki,NSH,RW,1,61,0.016393443
Rasmus Sandin,TOR,D,2,73,0.02739726
Zach Sanford,STL,LW,10,309,0.03236246
Travis Sanheim,PHI,D,7,540,0.012962963
Steven Santini,NSH,D,0,19,0
Ashton Sautner,VAN,D,0,3,0
David Savard,CBJ,D,4,511,0.007827789
Luca Sbisa,WPG,D,3,253,0.011857708
Marco Scandella,BUF,D,6,358,0.016759777
Colton Sceviour,FLA,C,7,340,0.020588235
Tim Schaller,VAN,LW,4,327,0.012232416
Mark Scheifele,WPG,C,24,582,0.041237113
Brayden Schenn,STL,C,25,542,0.046125461
Luke Schenn,TBL,D,1,137,0.00729927
Nick Schmaltz,ARI,C,20,447,0.044742729
Nate Schmidt,VEG,D,11,361,0.030470914
Justin Schultz,PIT,D,8,440,0.018181818
Jaden Schwartz,STL,C,22,526,0.041825095
Brent Seabrook,CHI,D,4,440,0.009090909
Nick Seeler,MIN,D,0,44,0
Tyler Seguin,DAL,C,21,540,0.038888889
Andrej Sekera,DAL,D,2,473,0.00422833
Brett Seney,NJD,LW,0,20,0
Zachary Senyshyn,BOS,RW,2,34,0.058823529
Mikhail Sergachev,TBL,D,14,443,0.031602709
Damon Severson,NJD,D,5,559,0.008944544
Michael Sgarbossa,WSH,C,0,16,0
Kevin Shattenkirk,TBL,D,19,464,0.040948276
Andrew Shaw,CHI,C,10,376,0.026595745
Logan Shaw,WPG,RW,0,93,0
Riley Sheahan,EDM,C,1,303,0.00330033
Conor Sheary,BUF,LW,9,325,0.027692308
Kole Sherwood,CBJ,RW,0,20,0
Devin Shore,ANA,C,3,171,0.01754386
Nick Shore,TOR,C,3,194,0.015463918
Jonas Siegenthaler,WSH,D,5,473,0.010570825
Jakob Silfverberg,ANA,LW,19,493,0.038539554
Radim Simek,SJS,D,4,225,0.017777778
Wayne Simmonds,NJD,RW,11,413,0.026634383
Dominik Simon,PIT,C,13,410,0.031707317
Colton Sissons,NSH,C,12,371,0.032345013
Jeff Skinner,BUF,LW,17,487,0.034907598
Brady Skjei,NYR,D,10,503,0.019880716
Jaccob Slavin,CAR,D,16,606,0.02640264
Brendan Smith,NYR,D,5,285,0.01754386
Craig Smith,NSH,C,7,350,0.02
Gemel Smith,TBL,C,1,28,0.035714286
Givani Smith,DET,RW,0,45,0
Reilly Smith,VEG,RW,20,533,0.037523452
Zack Smith,CHI,C,5,221,0.022624434
Vladimir Sobotka,BUF,C,3,228,0.013157895
Carl Soderberg,ARI,C,12,467,0.025695931
Marcus Sorensen,SJS,RW,8,339,0.02359882
Carson Soucy,MIN,D,2,309,0.006472492
Jason Spezza,TOR,C,10,193,0.051813472
Jared Spurgeon,MIN,D,16,628,0.025477707
Eric Staal,MIN,C,19,445,0.042696629
Jordan Staal,CAR,C,7,493,0.014198783
Marc Staal,NYR,D,2,203,0.009852217
Steven Stamkos,TBL,C,20,378,0.052910053
Paul Stastny,VEG,C,12,497,0.024144869
Troy Stecher,VAN,D,5,401,0.012468828
Sam Steel,ANA,C,10,373,0.026809651
Alex Steen,STL,C,5,235,0.021276596
Derek Stepan,ARI,C,10,525,0.019047619
Chandler Stephenson,WSH,C,4,284,0.014084507
Chris Stewart,PHI,RW,1,73,0.01369863
Riley Stillman,FLA,D,0,48,0
Mark Stone,VEG,RW,24,575,0.04173913
Michael Stone,CGY,D,3,231,0.012987013
Anton Stralman,FLA,D,10,551,0.01814882
Dylan Strome,CHI,C,17,374,0.045454545
Ryan Strome,NYR,C,23,508,0.045275591
Jack Studnicka,BOS,C,1,24,0.041666667
P.K. Subban,NJD,D,5,599,0.008347245
C.J. Suess,WPG,LW,0,6,0
Oskar Sundqvist,STL,C,12,350,0.034285714
Antti Suomela,SJS,C,1,43,0.023255814
Ryan Suter,MIN,D,16,673,0.023774146
Brandon Sutter,VAN,C,8,279,0.028673835
Nick Suzuki,MTL,C,13,389,0.033419023
Andrei Svechnikov,CAR,RW,29,447,0.064876957
Evgeny Svechnikov,DET,LW,0,33,0
Jordan Szwarz,OTT,RW,0,15,0
Brandon Tanev,PIT,LW,13,385,0.033766234
Chris Tanev,VAN,D,5,558,0.008960573
Vladimir Tarasenko,STL,RW,10,162,0.061728395
Tomas Tatar,MTL,C,24,423,0.056737589
John Tavares,TOR,C,20,394,0.050761421
Matt Tennyson,NJD,D,3,229,0.013100437
Teuvo Teravainen,CAR,F,26,524,0.049618321
Troy Terry,ANA,C,6,378,0.015873016
Alexandre Texier,CBJ,C,4,283,0.014134276
Shea Theodore,VEG,D,12,625,0.0192
Robert Thomas,STL,C,10,337,0.029673591
Nate Thompson,MTL,C,7,365,0.019178082
Tage Thompson,BUF,C,0,7,0
Joe Thornton,SJS,C,9,407,0.022113022
Chris Tierney,OTT,C,12,459,0.026143791
Dmytro Timashov,TOR,LW,6,168,0.035714286
Conor Timmins,COL,D,0,21,0
Brady Tkachuk,OTT,LW,15,478,0.031380753
Matthew Tkachuk,CGY,LW,24,535,0.044859813
Devon Toews,NYI,D,11,484,0.022727273
Jonathan Toews,CHI,C,14,524,0.026717557
Tyler Toffoli,LAK,C,13,433,0.030023095
Dominic Toninato,FLA,C,2,91,0.021978022
Yakov Trenin,NSH,C,0,13,0
Vincent Trocheck,FLA,C,14,333,0.042042042
Zach Trotman,PIT,D,0,68,0
Jacob Trouba,NYR,D,14,589,0.0237691
Alex Tuch,VEG,RW,5,171,0.029239766
Kyle Turris,NSH,C,9,258,0.034883721
Carsen Twarynski,PHI,F,1,146,0.006849315
T.J. Tynan,COL,C,1,100,0.01
Urho Vaakanainen,BOS,D,0,84,0
James van Riemsdyk,PHI,LW,11,418,0.026315789
Trevor van Riemsdyk,CAR,D,2,211,0.009478673
Sami Vatanen,NJD,D,10,480,0.020833333
Frank Vatrano,FLA,LW,10,405,0.024691358
Carter Verhaeghe,TBL,C,1,143,0.006993007
Max Veronneau,OTT,RW,0,34,0
Jimmy Vesey,BUF,LW,7,337,0.020771513
Jake Virtanen,VAN,RW,12,337,0.035608309
Marc-Edouard Vlasic,SJS,D,8,579,0.013816926
Alexander Volkov,TBL,RW,0,48,0
Jakub Voracek,PHI,RW,20,442,0.045248869
Mikhail Vorobyev,PHI,C,1,53,0.018867925
Jakub Vrana,WSH,LW,23,409,0.056234719
Austin Wagner,LAK,LW,5,275,0.018181818
Chris Wagner,BOS,C,5,350,0.014285714
Oliver Wahlstrom,NYI,RW,0,93,0
Nathan Walker,STL,C,2,35,0.057142857
Sean Walker,LAK,D,12,540,0.022222222
Lucas Wallmark,CAR,C,8,349,0.022922636
Austin Watson,NSH,LW,9,313,0.028753994
Jordan Weal,MTL,C,4,261,0.01532567
Shea Weber,MTL,D,21,637,0.032967033
Yannick Weber,NSH,D,0,181,0
Anton Wedin,CHI,F,0,20,0
MacKenzie Weegar,FLA,D,10,359,0.027855153
Alexander Wennberg,CBJ,C,9,464,0.019396552
Zach Werenski,CBJ,D,16,590,0.027118644
Blake Wheeler,WPG,RW,18,529,0.034026465
Colin White,OTT,C,5,329,0.015197568
Colin Wilson,COL,C,4,114,0.035087719
Tom Wilson,WSH,RW,19,512,0.037109375
Luke Witkowski,TBL,D,3,106,0.028301887
Miles Wood,NJD,LW,7,317,0.022082019
Keith Yandle,FLA,D,21,532,0.039473684
Danil Yurtaykin,SJS,F,0,52,0
Pavel Zacha,NJD,C,10,341,0.029325513
Filip Zadina,DET,RW,2,70,0.028571429
Nikita Zadorov,COL,D,4,401,0.009975062
Nikita Zaitsev,OTT,D,7,595,0.011764706
Travis Zajac,NJD,C,9,425,0.021176471
Mika Zibanejad,NYR,C,15,272,0.055147059
Mats Zuccarello,MIN,LW,12,361,0.033240997
Jason Zucker,MIN,LW,17,436,0.038990826
Valentin Zykov,VEG,LW,2,82,0.024390244
